Repetition,Sample size,Reliability,metric,kind,category,type
7,1.0,0.09525129342202512,MSE,all,all,data
7,1.0,0.16500369549150037,MSE,shuffled,all,data
7,1.0,0.11507936507936507,MSE,2.0,all,data
7,1.0,0.10698198198198199,MSE,5.0,all,data
7,1.0,0.09030758226037196,MSE,1.0,all,data
7,1.0,0.0603448275862069,MSE,0.0,all,data
7,1.0,0.08846153846153847,MSE,3.0,all,data
7,1.0,0.10238095238095238,MSE,7.0,all,data
7,1.0,0.09259259259259259,MSE,4.0,all,data
7,1.0,0.1162280701754386,MSE,6.0,all,data
7,1.0,-0.06663674533372466,r2,all,all,data
7,1.0,-0.6768476005662343,r2,shuffled,all,data
7,1.0,-0.2523411246864413,r2,2.0,all,data
7,1.0,-0.2112893926396764,r2,5.0,all,data
7,1.0,-0.08444237461500204,r2,1.0,all,data
7,1.0,-0.2162516382699866,r2,0.0,all,data
7,1.0,0.16096811371494435,r2,3.0,all,data
7,1.0,0.03375745340156833,r2,7.0,all,data
7,1.0,0.10937500000000011,r2,4.0,all,data
7,1.0,-0.06402488947109863,r2,6.0,all,data
8,1.0,0.49277009631740837,correlation,all,all,data
8,1.0,0.17796521579557825,correlation,shuffled,all,data
8,1.0,0.5219488465703789,correlation,2.0,all,data
8,1.0,0.3822763347431418,correlation,5.0,all,data
8,1.0,0.4993746213337018,correlation,1.0,all,data
8,1.0,0.29486713408150733,correlation,0.0,all,data
8,1.0,0.5221508493088592,correlation,3.0,all,data
8,1.0,0.5677734011612529,correlation,7.0,all,data
8,1.0,0.4506358501873095,correlation,4.0,all,data
8,1.0,0.5737352432302029,correlation,6.0,all,data
8,1.0,0.10199556541019955,MSE,all,all,data
8,1.0,0.1586289726533629,MSE,shuffled,all,data
8,1.0,0.10476190476190476,MSE,2.0,all,data
8,1.0,0.12950450450450451,MSE,5.0,all,data
8,1.0,0.09549356223175966,MSE,1.0,all,data
8,1.0,0.07471264367816093,MSE,0.0,all,data
8,1.0,0.10256410256410256,MSE,3.0,all,data
8,1.0,0.0761904761904762,MSE,7.0,all,data
8,1.0,0.11851851851851852,MSE,4.0,all,data
8,1.0,0.125,MSE,6.0,all,data
8,1.0,-0.031019569736295383,r2,all,all,data
8,1.0,-0.7064485099852835,r2,shuffled,all,data
8,1.0,0.157835893447404,r2,2.0,all,data
8,1.0,-0.21090909090909093,r2,5.0,all,data
8,1.0,-0.048588222566802175,r2,1.0,all,data
8,1.0,-0.4561965811965809,r2,0.0,all,data
8,1.0,-0.11428571428571432,r2,3.0,all,data
8,1.0,0.2279411764705883,r2,7.0,all,data
8,1.0,-0.11541671142104093,r2,4.0,all,data
8,1.0,0.15998035041755365,r2,6.0,all,data
9,1.0,0.48843152410763285,correlation,all,all,data
9,1.0,0.14799151512911843,correlation,shuffled,all,data
9,1.0,0.5614263301962428,correlation,2.0,all,data
9,1.0,0.4442332710677266,correlation,5.0,all,data
9,1.0,0.47165545008699467,correlation,1.0,all,data
